record_id,record_date,warehouse_id,warehouse_location,product_category,stock_quantity_tons,min_stock_tons,max_capacity_tons
INV-00001,2025-01-15,WH-01,福建上杭,金矿石,792.4,200.0,2000.0
INV-00002,2025-01-15,WH-01,福建上杭,铜精矿,1231.3,300.0,3000.0
INV-00003,2025-01-15,WH-01,福建上杭,银精矿,122.1,50.0,500.0
INV-00004,2025-01-15,WH-02,新疆阿勒泰,金矿石,598.8,150.0,1500.0
INV-00005,2025-01-15,WH-02,新疆阿勒泰,铜精矿,1045.0,250.0,2500.0
INV-00006,2025-01-15,WH-02,新疆阿勒泰,锌精矿,1877.1,400.0,4000.0
INV-00007,2025-01-15,WH-03,黑龙江多宝山,铜精矿,813.5,200.0,2000.0
INV-00008,2025-01-15,WH-03,黑龙江多宝山,钼精矿,377.2,100.0,800.0
INV-00009,2025-01-15,WH-04,贵州贞丰,金矿石,406.3,100.0,1000.0
INV-00010,2025-01-15,WH-04,贵州贞丰,锌精矿,1180.1,300.0,2500.0
INV-00011,2025-01-15,WH-05,河南洛阳,银精矿,103.4,40.0,400.0
INV-00012,2025-01-15,WH-05,河南洛阳,钼精矿,297.6,80.0,600.0
INV-00013,2025-04-15,WH-01,福建上杭,金矿石,683.1,200.0,2000.0
INV-00014,2025-04-15,WH-01,福建上杭,铜精矿,941.5,300.0,3000.0
INV-00015,2025-04-15,WH-01,福建上杭,银精矿,91.3,50.0,500.0
INV-00016,2025-04-15,WH-02,新疆阿勒泰,金矿石,547.3,150.0,1500.0
INV-00017,2025-04-15,WH-02,新疆阿勒泰,铜精矿,1113.1,250.0,2500.0
INV-00018,2025-04-15,WH-02,新疆阿勒泰,锌精矿,1681.7,400.0,4000.0
INV-00019,2025-04-15,WH-03,黑龙江多宝山,铜精矿,573.0,200.0,2000.0
INV-00020,2025-04-15,WH-03,黑龙江多宝山,钼精矿,169.8,100.0,800.0
INV-00021,2025-04-15,WH-04,贵州贞丰,金矿石,366.0,100.0,1000.0
INV-00022,2025-04-15,WH-04,贵州贞丰,锌精矿,832.3,300.0,2500.0
INV-00023,2025-04-15,WH-05,河南洛阳,银精矿,44.0,40.0,400.0
INV-00024,2025-04-15,WH-05,河南洛阳,钼精矿,245.6,80.0,600.0
INV-00025,2025-07-15,WH-01,福建上杭,金矿石,628.1,200.0,2000.0
INV-00026,2025-07-15,WH-01,福建上杭,铜精矿,740.9,300.0,3000.0
INV-00027,2025-07-15,WH-01,福建上杭,银精矿,64.7,50.0,500.0
INV-00028,2025-07-15,WH-02,新疆阿勒泰,金矿石,363.1,150.0,1500.0
INV-00029,2025-07-15,WH-02,新疆阿勒泰,铜精矿,826.2,250.0,2500.0
INV-00030,2025-07-15,WH-02,新疆阿勒泰,锌精矿,1391.1,400.0,4000.0
INV-00031,2025-07-15,WH-03,黑龙江多宝山,铜精矿,531.6,200.0,2000.0
INV-00032,2025-07-15,WH-03,黑龙江多宝山,钼精矿,91.6,100.0,800.0
INV-00033,2025-07-15,WH-04,贵州贞丰,金矿石,309.2,100.0,1000.0
INV-00034,2025-07-15,WH-04,贵州贞丰,锌精矿,876.1,300.0,2500.0
INV-00035,2025-07-15,WH-05,河南洛阳,银精矿,41.3,40.0,400.0
INV-00036,2025-07-15,WH-05,河南洛阳,钼精矿,152.6,80.0,600.0
INV-00037,2025-10-15,WH-01,福建上杭,金矿石,800.7,200.0,2000.0
INV-00038,2025-10-15,WH-01,福建上杭,铜精矿,1418.5,300.0,3000.0
INV-00039,2025-10-15,WH-01,福建上杭,银精矿,121.2,50.0,500.0
INV-00040,2025-10-15,WH-02,新疆阿勒泰,金矿石,554.9,150.0,1500.0
INV-00041,2025-10-15,WH-02,新疆阿勒泰,铜精矿,1227.7,250.0,2500.0
INV-00042,2025-10-15,WH-02,新疆阿勒泰,锌精矿,1618.6,400.0,4000.0
INV-00043,2025-10-15,WH-03,黑龙江多宝山,铜精矿,747.7,200.0,2000.0
INV-00044,2025-10-15,WH-03,黑龙江多宝山,钼精矿,216.7,100.0,800.0
INV-00045,2025-10-15,WH-04,贵州贞丰,金矿石,538.0,100.0,1000.0
INV-00046,2025-10-15,WH-04,贵州贞丰,锌精矿,964.4,300.0,2500.0
INV-00047,2025-10-15,WH-05,河南洛阳,银精矿,79.6,40.0,400.0
INV-00048,2025-10-15,WH-05,河南洛阳,钼精矿,327.6,80.0,600.0
INV-00049,2025-02-15,WH-01,福建上杭,金矿石,771.0,200.0,2000.0
INV-00050,2025-02-15,WH-01,福建上杭,铜精矿,1273.6,300.0,3000.0
INV-00051,2025-02-15,WH-01,福建上杭,银精矿,133.3,50.0,500.0
INV-00052,2025-02-15,WH-02,新疆阿勒泰,金矿石,557.8,150.0,1500.0
INV-00053,2025-02-15,WH-02,新疆阿勒泰,铜精矿,1072.7,250.0,2500.0
INV-00054,2025-02-15,WH-02,新疆阿勒泰,锌精矿,1740.0,400.0,4000.0
INV-00055,2025-02-15,WH-03,黑龙江多宝山,铜精矿,733.8,200.0,2000.0
INV-00056,2025-02-15,WH-03,黑龙江多宝山,钼精矿,349.7,100.0,800.0
INV-00057,2025-02-15,WH-04,贵州贞丰,金矿石,383.9,100.0,1000.0
INV-00058,2025-02-15,WH-04,贵州贞丰,锌精矿,1229.3,300.0,2500.0
INV-00059,2025-02-15,WH-05,河南洛阳,银精矿,110.2,40.0,400.0
INV-00060,2025-02-15,WH-05,河南洛阳,钼精矿,322.3,80.0,600.0
INV-00061,2025-05-15,WH-01,福建上杭,金矿石,791.5,200.0,2000.0
INV-00062,2025-05-15,WH-01,福建上杭,铜精矿,984.8,300.0,3000.0
INV-00063,2025-05-15,WH-01,福建上杭,银精矿,83.8,50.0,500.0
INV-00064,2025-05-15,WH-02,新疆阿勒泰,金矿石,477.7,150.0,1500.0
INV-00065,2025-05-15,WH-02,新疆阿勒泰,铜精矿,1246.3,250.0,2500.0
INV-00066,2025-05-15,WH-02,新疆阿勒泰,锌精矿,1763.0,400.0,4000.0
INV-00067,2025-05-15,WH-03,黑龙江多宝山,铜精矿,621.6,200.0,2000.0
INV-00068,2025-05-15,WH-03,黑龙江多宝山,钼精矿,193.9,100.0,800.0
INV-00069,2025-05-15,WH-04,贵州贞丰,金矿石,374.0,100.0,1000.0
INV-00070,2025-05-15,WH-04,贵州贞丰,锌精矿,981.6,300.0,2500.0
INV-00071,2025-05-15,WH-05,河南洛阳,银精矿,44.1,40.0,400.0
INV-00072,2025-05-15,WH-05,河南洛阳,钼精矿,204.3,80.0,600.0
INV-00073,2025-08-15,WH-01,福建上杭,金矿石,632.5,200.0,2000.0
INV-00074,2025-08-15,WH-01,福建上杭,铜精矿,969.2,300.0,3000.0
INV-00075,2025-08-15,WH-01,福建上杭,银精矿,67.5,50.0,500.0
INV-00076,2025-08-15,WH-02,新疆阿勒泰,金矿石,388.1,150.0,1500.0
INV-00077,2025-08-15,WH-02,新疆阿勒泰,铜精矿,1062.9,250.0,2500.0
INV-00078,2025-08-15,WH-02,新疆阿勒泰,锌精矿,1591.2,400.0,4000.0
INV-00079,2025-08-15,WH-03,黑龙江多宝山,铜精矿,570.4,200.0,2000.0
INV-00080,2025-08-15,WH-03,黑龙江多宝山,钼精矿,90.0,100.0,800.0
