order_id,order_date,customer_id,product_category,quantity_tons,unit_price,total_amount,region,status
ORD-00001,2025-01-05,CUST-012,金矿石,141.0,399439.81,56321013.21,华东,已完成
ORD-00002,2025-01-08,CUST-035,铜精矿,309.1,60792.00,18790807.20,华南,已完成
ORD-00003,2025-01-12,CUST-007,银精矿,49.6,4768058.40,236495696.64,华北,已完成
ORD-00004,2025-01-15,CUST-021,锌精矿,462.0,17204.24,7948358.88,西南,进行中
ORD-00005,2025-01-18,CUST-042,钼精矿,88.9,294366.08,26169144.51,华东,已完成
ORD-00006,2025-01-22,CUST-018,金矿石,225.8,408218.07,92175640.21,西北,已完成
ORD-00007,2025-01-25,CUST-003,铜精矿,173.1,45931.50,7950742.65,华南,已取消
ORD-00008,2025-02-01,CUST-029,银精矿,67.3,3675816.85,247382474.00,华东,已完成
ORD-00009,2025-02-05,CUST-015,锌精矿,380.3,16780.32,6381555.70,东北,已完成
ORD-00010,2025-02-08,CUST-037,钼精矿,94.5,295826.90,27955642.05,华北,已完成
ORD-00011,2025-02-12,CUST-008,金矿石,172.5,412718.70,71193975.75,华南,进行中
ORD-00012,2025-02-15,CUST-044,铜精矿,276.0,58674.52,16194167.52,西南,已完成
ORD-00013,2025-02-20,CUST-022,银精矿,31.2,3758079.50,117252080.40,华东,已完成
ORD-00014,2025-02-25,CUST-011,锌精矿,436.3,16046.31,7001005.05,华北,已完成
ORD-00015,2025-03-01,CUST-033,钼精矿,94.7,272146.94,25772315.22,西北,已完成
ORD-00016,2025-03-05,CUST-019,金矿石,299.0,394089.75,117832835.25,华东,已完成
ORD-00017,2025-03-08,CUST-046,铜精矿,386.8,45349.18,17541062.82,东北,已取消
ORD-00018,2025-03-12,CUST-005,银精矿,54.9,4178282.02,229387682.90,华南,已完成
ORD-00019,2025-03-15,CUST-027,锌精矿,454.1,16203.55,7358032.05,西南,已完成
ORD-00020,2025-03-18,CUST-014,钼精矿,65.3,303187.15,19798120.89,华北,进行中
ORD-00021,2025-03-22,CUST-039,金矿石,180.6,449584.87,81195027.52,华东,已完成
ORD-00022,2025-03-25,CUST-002,铜精矿,317.4,55886.15,17738264.01,华南,已完成
ORD-00023,2025-04-01,CUST-031,银精矿,36.6,4904956.64,179521413.02,西北,已完成
ORD-00024,2025-04-05,CUST-016,锌精矿,309.0,22069.36,6819432.24,华东,已完成
ORD-00025,2025-04-08,CUST-048,钼精矿,75.2,327174.69,24603536.69,东北,已完成
ORD-00026,2025-04-12,CUST-009,金矿石,209.7,381858.81,80075792.46,华北,已完成
ORD-00027,2025-04-15,CUST-025,铜精矿,335.6,60596.89,20336316.28,西南,进行中
ORD-00028,2025-04-18,CUST-041,银精矿,51.5,4906452.29,252682292.94,华南,已完成
