transport_id,order_id,origin,destination,transport_mode,distance_km,planned_days,actual_days,transport_cost,status
TRS-00001,ORD-00001,福建上杭,上海,公路,915.5,3,3,50187.91,已送达
TRS-00002,ORD-00002,福建上杭,广州,铁路,1404.2,4,4,32548.29,已送达
TRS-00003,ORD-00003,新疆阿勒泰,北京,铁路,3801.2,7,8,110961.99,已送达
TRS-00004,ORD-00004,贵州贞丰,成都,公路,589.6,2,2,25814.32,运输中
TRS-00005,ORD-00005,福建上杭,南京,水运,902.1,5,5,24062.96,已送达
TRS-00006,ORD-00006,新疆阿勒泰,兰州,铁路,3110.5,6,7,93063.60,已送达
TRS-00007,ORD-00008,福建上杭,杭州,公路,855.3,3,3,37264.79,已送达
TRS-00008,ORD-00009,黑龙江多宝山,沈阳,铁路,903.3,3,3,28931.84,已送达
TRS-00009,ORD-00010,河南洛阳,北京,公路,725.0,2,3,37362.61,已送达
TRS-00010,ORD-00012,贵州贞丰,重庆,公路,451.6,2,2,20127.32,已送达
TRS-00011,ORD-00013,福建上杭,上海,水运,849.3,5,6,18180.56,已送达
TRS-00012,ORD-00014,新疆阿勒泰,天津,铁路,3290.9,7,9,97361.43,延误
TRS-00013,ORD-00015,河南洛阳,西安,公路,581.1,2,2,26231.50,已送达
TRS-00014,ORD-00016,福建上杭,合肥,公路,1020.6,3,3,38796.88,已送达
TRS-00015,ORD-00018,福建上杭,深圳,水运,1266.2,5,5,22161.62,已送达
TRS-00016,ORD-00019,贵州贞丰,昆明,公路,615.6,2,2,26589.06,已送达
TRS-00017,ORD-00021,福建上杭,苏州,公路,954.7,3,4,50257.46,已送达
TRS-00018,ORD-00022,福建上杭,佛山,铁路,1133.2,4,4,40453.27,已送达
TRS-00019,ORD-00023,新疆阿勒泰,银川,铁路,2189.5,5,6,73072.87,已送达
TRS-00020,ORD-00024,福建上杭,无锡,公路,1087.7,3,3,43775.55,已送达
TRS-00021,ORD-00025,黑龙江多宝山,长春,铁路,705.2,2,2,28862.27,已送达
TRS-00022,ORD-00026,新疆阿勒泰,石家庄,铁路,3409.0,7,7,84350.94,已送达
TRS-00023,ORD-00028,福建上杭,东莞,水运,1131.3,5,5,23397.72,已送达
TRS-00024,ORD-00029,贵州贞丰,武汉,铁路,1175.3,4,5,40589.81,已送达
TRS-00025,ORD-00030,河南洛阳,乌鲁木齐,铁路,3529.2,7,8,96309.93,已送达
TRS-00026,ORD-00031,黑龙江多宝山,哈尔滨,公路,406.0,1,1,12978.69,已送达
TRS-00027,ORD-00033,福建上杭,汕头,公路,603.5,2,2,32292.39,已送达
TRS-00028,ORD-00034,新疆阿勒泰,太原,铁路,3380.6,6,7,99211.66,已送达
TRS-00029,ORD-00035,贵州贞丰,贵阳,公路,319.3,1,1,13844.39,已送达
TRS-00030,ORD-00037,福建上杭,珠海,水运,1120.8,5,5,20061.57,已送达
TRS-00031,ORD-00038,河南洛阳,西宁,铁路,1429.7,4,5,57078.58,已送达
TRS-00032,ORD-00039,福建上杭,温州,公路,785.6,2,2,29920.26,已送达
TRS-00033,ORD-00040,黑龙江多宝山,大连,铁路,1060.8,3,4,39009.85,已送达
TRS-00034,ORD-00041,新疆阿勒泰,呼和浩特,铁路,2696.5,6,6,66644.92,已送达
TRS-00035,ORD-00042,贵州贞丰,南宁,铁路,800.0,3,3,31429.28,已送达
